txtdate,intdate,inflation,country
25569,19700101,5.83825534,US
25934,19710101,4.29276669,US
26299,19720101,3.27227825,US
26665,19730101,6.17776006,US
27030,19740101,11.0548048,US
27395,19750101,9.14314687,US
27760,19760101,5.74481264,US
28126,19770101,6.501684,US
28491,19780101,7.63096384,US
28856,19790101,11.25447113,US
29221,19800101,13.54920197,US
29587,19810101,10.33471534,US
29952,19820101,6.131427,US
30317,19830101,3.21243523,US
30682,19840101,4.30053548,US
31048,19850101,3.54564415,US
31413,19860101,1.89804772,US
31778,19870101,3.66456322,US
32143,19880101,4.07774111,US
32509,19890101,4.82700303,US
32874,19900101,5.39795644,US
33239,19910101,4.23496397,US
33604,19920101,3.02881968,US
33970,19930101,2.95165697,US
34335,19940101,2.60744159,US
34700,19950101,2.80541969,US
35065,19960101,2.9312042,US
35431,19970101,2.33768994,US
35796,19980101,1.5522791,US
36161,19990101,2.1880272,US
36526,20000101,3.37685727,US
36892,20010101,2.82617112,US
37257,20020101,1.58603163,US
37622,20030101,2.27009497,US
37987,20040101,2.67723669,US
38353,20050101,3.39274685,US
38718,20060101,3.2259441,US
39083,20070101,2.85267248,US
39448,20080101,3.8391003,US
39814,20090101,-0.35554627,US
40179,20100101,1.64004344,US
40544,20110101,3.15684157,US
40909,20120101,2.06933727,US
41275,20130101,1.46483266,US
41640,20140101,1.62222298,US
42005,20150101,0.11862714,US
42370,20160101,1.26158321,US
42736,20170101,2.13011,US
43101,20180101,2.4425833,US
43466,20190101,1.81221008,US
